Public Food Key,Classification,Category,Categoría,Food Name,Nombre en español,"Energy, with dietary fibre (kJ)","Energy, with dietary fibre (kcal)","Energy, without dietary fibre (kJ)","Energy, without dietary fibre (kcal)",Moisture (water) (g),Protein (g),Nitrogen (g),Total fat (g),Ash (g),Total dietary fibre (g),Alcohol (g),Fructose (g),Glucose (g),Sucrose (g),Maltose (g),Lactose (g),Galactose (g),Maltotriose (g),Total sugars (g),Added sugars (g),Free sugars (g),Starch (g),Dextrin (g),Glycerol (g),Glycogen (g),Inulin (g),Mannitol (g),Maltodextrin (g),Oligosaccharides (g),Raffinose (g),Stachyose (g),Sorbitol (g),Resistant starch (g),"Available carbohydrate, without sugar alcohols (g)","Available carbohydrate, with sugar alcohols (g)",Acetic acid (g),Citric acid (g),Fumaric acid (g),Lactic acid (g),Malic acid (g),Oxalic acid (g),Propionic acid (g),Quinic acid (g),Succinic acid (g),Tartaric acid (g),Aluminium (Al) (ug),Antimony (Sb) (ug),Arsenic (As) (ug),Cadmium (Cd) (ug),Calcium (Ca) (mg),Chromium (Cr) (ug),Chloride (Cl) (mg),Cobalt (Co) (ug),Copper (Cu) (mg),Fluoride (F) (ug),Iodine (I) (ug),Iron (Fe) (mg),Lead (Pb) (ug),Magnesium (Mg) (mg),Manganese (Mn) (mg),Mercury (Hg) (ug),Molybdenum (Mo) (ug),Nickel (Ni) (ug),Phosphorus (P) (mg),Potassium (K) (mg),Selenium (Se) (ug),Sodium (Na) (mg),Sulphur (S) (mg),Tin (Sn) (ug),Zinc (Zn) (mg),Retinol (preformed vitamin A) (ug),Alpha-carotene (ug),Beta-carotene (ug),Cryptoxanthin (ug),Beta-carotene equivalents (provitamin A) (ug),Vitamin A retinol equivalents (ug),Lutein (ug),Lycopene (ug),Xanthophyl (ug),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Niacin derived from tryptophan (mg),Niacin derived equivalents (mg),Pantothenic acid (B5) (mg),Pyridoxine (B6) (mg),Biotin (B7) (ug),Cobalamin (B12) (ug),"Folate, natural (ug)",Folic acid (ug),Total folates (ug),Dietary folate equivalents (ug),Vitamin C (mg),Cholecalciferol (D3) (ug),Ergocalciferol (D2) (ug),25-hydroxy cholecalciferol (25-OH D3 (ug),25-hydroxy ergocalciferol (25-OH D2) (ug),Vitamin D3 equivalents (ug),Alpha tocopherol (mg),Alpha tocotrienol (mg),Beta tocopherol (mg),Beta tocotrienol (mg),Delta tocopherol (mg),Delta tocotrienol (mg),Gamma tocopherol (mg),Gamma tocotrienol (mg),Vitamin E (mg),C4 (%),,C6 (%),,C8 (%),,C10 (%),,C11 (%),,C12 (%),,C13 (%),,C14 (%),,C15 (%),,C16 (%),,C17 (%),,C18 (%),,C19 (%),,C20 (%),,C21 (%),,C22 (%),,C23 (%),,C24 (%),,Total saturated fatty acids (%),,C12:1 (%),,C14:1 (%),,C15:1 (%),,C16:1 (%),,C17:1 (%),,C18:1 (%),,C20:1 (%),,C22:1 (%),,C24:1 (%),,Total monounsaturated fatty acids (%),,C16:2w4 (%),,C16:3 (%),,C18:2w6 (%),,C18:3w3 (%),,C18:3w4 (%),,C18:3w6 (%),,C18:4w1 (%),,C18:4w3 (%),,C20:2w6 (%),,C20:3w3 (%),,C20:3w6 (%),,C20:4w3 (%),,C20:4w6 (%),,C20:5w3 (%),,C22:2w6 (%),,C22:4w6 (%),,C22:5w3 (%),,C22:5w6 (%),,C22:6w3 (%),,Other polyunsaturated fatty acids (%),,Total polyunsaturated fatty acids (%),,Total long chain omega 3 fatty acids (%),,Total undifferentiated fatty acids (%),,Total trans fatty acids (%),,Caffeine (mg),Cholesterol (mg),Tryptophan (mg/g N),,Alanine (mg/g N),,Arginine (mg/g N),,Aspartic acid (mg/g N),,Cystine plus cysteine (mg/g N),,Glutamic acid (mg/g N),,Glycine (mg/g N),,Histidine (mg/g N),,Isoleucine (mg/g N),,Leucine (mg/g N),,Lysine (mg/g N),,Methionine (mg/g N),,Phenylalanine (mg/g N),,Proline (mg/g N),,Serine (mg/g N),,Threonine (mg/g N),,Tyrosine (mg/g N),,Valine (mg/g N),,wiki,wiki (es)
F006118,31302,Herbs(dried)  and spices ,Hierbas (secado) y especias,"Nutmeg, dried, ground","Nuez moscada, secado, molido",2090,500,1924,460,6.2,5.8,0.93,36.3,2.3,20.8,0,,,,,,,,3,0,0,25.5,,,,,,,,,,,,28.5,28.5,,,,,,,,,,,,,,,184,,,,,,0,3.04,,183,,,,,213,350,1.6,16,,,2.15,0,,28,,28,5,,,,0.346,0.057,1.3,1.22,2.52,,0.16,,0,76,0,76,76,3,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9,30.51,,,,,,,,,,,,,,,,,,,10.91,3.79,,,,,1.2,0.41,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,1.19,0.41,0,0,,,0,0,0,0,77,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spice from Myristica fragrans,
F006281,31302,Herbs(dried)  and spices ,Hierbas (secado) y especias,"Oregano, dried","Orégano, se secó",1096,262,756,181,9.9,9,1.44,4.3,7.9,42.5,0,,,,,,,,4.1,0,0,22.3,,,,,,,,,,,,26.4,26.4,,,,,,,,,,,,,,,1597,,,,,,0,36.8,,270,,,,,148,1260,4.5,25,,,2.69,0,,1007,,1007,168,,,,0.177,0.528,4.64,3.45,8.09,,1.04,,0,237,0,237,237,2,0,0,0,0,0,18.3,,,,,,,,18.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.66,1.46,,,,,,,,,,,,,,,,,,,19.69,0.67,,,,,20.6,0.7,17.1,0.58,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,37.65,1.29,0,0,,,0,0,0,0,141,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wikimedia disambiguation page,desambiguación de Wikipedia
F006316,31302,Herbs(dried)  and spices ,Hierbas (secado) y especias,"Paprika, dry powder","Paprika, polvo seco",1311,313,1031,246,11.2,14.1,2.26,12.9,7.7,34.9,0,,,,,,,,10.3,0,0,8.8,,,,,,,,,,,,19.1,19.1,,,,,,,,,,,,,,,229,,,,,,0,21.14,,178,,,,,314,2280,6.3,68,,,4.33,0,,26162,,26162,4360,,,,0.33,1.23,10.06,1.19,11.25,,2.14,,0,49,0,49,49,1,0,0,0,0,0,29.1,,,,,,,,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.45,1.9,,,,,,,,,,,,,,,,,,,14.61,1.51,,,,,63,6.5,3.9,0.4,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,66.95,6.9,0,0,,,0,0,0,0,31,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spice made from dried fruits of Capsicum annuum,condimento en polvo de color rojo
F006618,31302,Herbs(dried)  and spices ,Hierbas (secado) y especias,"Pepper, black, ground","Pimienta, negro, planta",1156,276,953,228,12.5,10.4,1.66,3.3,4.5,25.3,0,0.2,0.2,0,0,0,0.2,,0.6,0,0,38,,,,,,,,,,,,38.6,38.6,,,,,,,,,,,,,,,443,,,,,,6,9.71,,171,,,,,158,1329,4.9,20,,,1.19,0,,310,,310,52,,,,0.108,0.18,1.14,0.84,1.98,,0.29,,0,17,0,17,17,0,0,0,0,0,0,1,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.49,1.39,,,,,,,,,,,,,,,,,,,23.62,0.74,,,,,22.2,0.69,4.9,0.15,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,4.86,0.15,31.9,0.99,0,0,,,0,0,0,0,30,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,species of the plant genus Capsicum,nombre científico de una solanácea nativa de América
F007715,31302,Herbs(dried)  and spices ,Hierbas (secado) y especias,"Rosemary, dried","Romero, se secó",1314,314,973,233,9.3,4.9,0.78,15.2,6.5,42.6,0,,,,,,,,19.6,0,0,0.8,,,,,,,,,,,,20.4,20.4,,,,,,,,,,,,,,,1280,,,,,,2.3,29.25,,220,,,,,70,955,4.6,50,,,3.23,0,,1880,,1880,313,,,,0.514,0.428,1,1.69,2.69,,1.74,,0,307,0,307,307,61,0,0,0,0,0,7.5,,,,,,,,7.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.93,7.05,,,,,,,,,,,,,,,,,,,23.9,2.91,,,,,9.1,1.11,8.5,1.03,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,0.81,0.1,18.39,2.24,0,0,,,0,0,0,0,128,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"species of plant, rosemary",especie de planta
F007726,31302,Herbs(dried)  and spices ,Hierbas (secado) y especias,"Sage, dried","Sage, se secó",1320,315,998,239,8,10.6,1.7,12.8,8,40.3,0,,,,,,,,1.7,0,0,18.7,,,,,,,,,,,,20.4,20.4,,,,,,,,,,,,,,,1652,,,,,,1.8,28.12,,428,,,,,91,1070,3.7,11,,,4.7,0,,3485,,3485,581,,,,0.754,0.336,5.72,4.08,9.8,,2.69,,0,274,0,274,274,32,0,0,0,0,0,7.5,,,,,,,,7.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.95,7.03,,,,,,,,,,,,,,,,,,,17.54,1.79,,,,,5,0.51,11.5,1.18,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,16.51,1.68,0,0,,,0,0,0,0,141,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publisher,
F009160,31302,Herbs(dried)  and spices ,Hierbas (secado) y especias,"Thyme, dried, ground","Tomillo, secado, molido",1182,283,886,212,7.8,9.1,1.46,7.4,11.7,37,0,,,,,,,,1.7,0,0,25.2,,,,,,,,,,,,26.9,26.9,,,,,,,,,,,,,,,1890,,,,,,2.3,123.6,,220,,,,,201,814,4.6,55,,,6.18,0,,2264,,2264,377,,,,0.513,0.399,4.94,3.16,8.1,,0.55,,0,274,0,274,274,50,0,0,0,0,0,7.5,,,,,,,,7.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.19,3.7,,,,,,,,,,,,,,,,,,,10.71,0.64,,,,,11.4,0.68,15.7,0.93,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,27.11,1.61,0,0,,,0,0,0,0,128,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,species of plant,especie de planta
F009335,31302,Herbs(dried)  and spices ,Hierbas (secado) y especias,"Turmeric, dried, ground","La cúrcuma, secado, molido",1219,291,1037,248,12.8,9.7,1.55,3.2,7.1,22.7,0,,,,,,,,3.2,0,0,41.2,,,,,,,,,,,,44.4,44.4,,,,,,,,,,,,,,,168,,,,,,2.3,55,,208,,,,,299,2080,6.2,27,,,4.5,0,,0,,0,0,,,,0.058,0.15,1.35,2.89,4.24,,1.8,,0,20,0,20,20,1,0,0,0,0,0,4.4,,,,,,,,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.4,1.88,,,,,,,,,,,,,,,,,,,14.76,0.46,,,,,22.1,0.69,2.8,0.09,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,24.84,0.77,0,0,,,0,0,0,0,110,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plant used as spice,especie de planta
F007870,31301,Salt,sal,"Salt substitute, potassium chloride","Sal sustituto, cloruro de potasio",0,0,0,0,0.2,0,0,0,99.8,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,34,,,,,,19.9,0,,1,,,,,3,50009,2.6,33,,,0.1,0,,0,,0,0,,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sodium chloride (NaCl) used as a food ingredient and nutrient,cloruro sódico
F007878,31301,Salt,sal,"Salt, table, iodised","Sal, mesa, yodará",0,0,0,0,0.2,0,0,0,99.8,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,34,0,61200,,,,4400,0,,1,0.054,,0.2,2,3,98,1.9,38168,,,0.1,0,,0,,0,0,,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sodium chloride (NaCl) used as a food ingredient and nutrient,cloruro sódico
F007879,31301,Salt,sal,"Salt, table, non-iodised","Sal, mesa, no yodada",0,0,0,0,0.2,0,0,0,99.8,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,34,3.8,61200,,,,19.9,0,,1,,,0,5,3,17,2.6,38178,,,0.1,0,,0,,0,0,,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sodium chloride (NaCl) used as a food ingredient and nutrient,cloruro sódico
